Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 422, spend time: 0.147s, fps: 6.781
frame index: 423, spend time: 0.129s, fps: 7.726
frame index: 424, spend time: 0.143s, fps: 7.011
frame index: 425, spend time: 0.173s, fps: 5.794
frame index: 426, spend time: 0.194s, fps: 5.161
frame index: 427, spend time: 0.200s, fps: 4.988
frame index: 428, spend time: 0.180s, fps: 5.568
frame index: 429, spend time: 0.177s, fps: 5.662
frame index: 430, spend time: 0.176s, fps: 5.676
frame index: 431, spend time: 0.155s, fps: 6.456
frame index: 432, spend time: 0.109s, fps: 9.174
frame index: 433, spend time: 0.130s, fps: 7.694
frame index: 434, spend time: 0.134s, fps: 7.483
frame index: 435, spend time: 0.154s, fps: 6.480
frame index: 436, spend time: 0.130s, fps: 7.695
frame index: 437, spend time: 0.151s, fps: 6.639
frame index: 438, spend time: 0.155s, fps: 6.434
frame index: 439, spend time: 0.142s, fps: 7.027
frame index: 440, spend time: 0.137s, fps: 7.274
frame index: 441, spend time: 0.148s, fps: 6.756
frame index: 442, spend time: 0.250s, fps: 4.007
frame index: 443, spend time: 0.163s, fps: 6.145
frame index: 444, spend time: 0.206s, fps: 4.856
frame index: 445, spend time: 0.217s, fps: 4.616
frame index: 446, spend time: 0.177s, fps: 5.647
frame index: 447, spend time: 0.169s, fps: 5.928
frame index: 448, spend time: 0.196s, fps: 5.112
frame index: 449, spend time: 0.195s, fps: 5.117
frame index: 450, spend time: 0.131s, fps: 7.658
frame index: 451, spend time: 0.148s, fps: 6.749
frame index: 452, spend time: 0.237s, fps: 4.219
frame index: 453, spend time: 0.207s, fps: 4.829
frame index: 454, spend time: 0.197s, fps: 5.071
frame index: 455, spend time: 0.142s, fps: 7.057
frame index: 456, spend time: 0.128s, fps: 7.788
frame index: 457, spend time: 0.151s, fps: 6.602
frame index: 458, spend time: 0.150s, fps: 6.670
frame index: 459, spend time: 0.159s, fps: 6.294
frame index: 460, spend time: 0.110s, fps: 9.112
frame index: 461, spend time: 0.113s, fps: 8.826
frame index: 462, spend time: 0.113s, fps: 8.819
frame index: 463, spend time: 0.131s, fps: 7.646
frame index: 464, spend time: 0.140s, fps: 7.132
frame index: 465, spend time: 0.151s, fps: 6.601
frame index: 466, spend time: 0.200s, fps: 5.002
frame index: 467, spend time: 0.168s, fps: 5.962
