[Progress:51.1%] time:51.51s Loss:1.23800  Acc:52.019%
[Progress:51.3%] time:50.49s Loss:1.20786  Acc:52.124%
[Progress:51.6%] time:50.59s Loss:1.19924  Acc:52.223%
[Progress:51.9%] time:49.91s Loss:1.15245  Acc:52.331%
[Progress:52.2%] time:50.46s Loss:1.12062  Acc:52.438%
[Progress:52.4%] time:51.44s Loss:1.19663  Acc:52.534%
[Progress:52.7%] time:50.19s Loss:1.13989  Acc:52.637%
[Progress:53.0%] time:50.65s Loss:1.11523  Acc:52.748%
[Progress:53.2%] time:50.35s Loss:1.26040  Acc:52.838%
[Progress:53.5%] time:49.55s Loss:1.11424  Acc:52.943%
[Progress:53.8%] time:49.86s Loss:1.10102  Acc:53.047%
[Progress:54.0%] time:51.32s Loss:1.10334  Acc:53.149%
[Progress:54.3%] time:51.11s Loss:1.13524  Acc:53.248%
[Progress:54.6%] time:50.74s Loss:1.12281  Acc:53.345%
[Progress:54.8%] time:50.38s Loss:1.14980  Acc:53.439%
[Progress:55.1%] time:50.20s Loss:1.08806  Acc:53.543%
[Progress:55.4%] time:50.26s Loss:1.10706  Acc:53.645%
[Progress:55.6%] time:51.11s Loss:1.11569  Acc:53.742%
[Progress:55.9%] time:51.35s Loss:1.09723  Acc:53.838%
[Progress:56.2%] time:50.89s Loss:1.10270  Acc:53.937%
[Progress:56.5%] time:50.92s Loss:1.12547  Acc:54.032%
[Progress:56.7%] time:51.54s Loss:1.06958  Acc:54.130%
[Progress:57.0%] time:49.74s Loss:1.13074  Acc:54.225%
[Progress:57.3%] time:50.43s Loss:1.16102  Acc:54.315%
[Progress:57.5%] time:51.63s Loss:1.10659  Acc:54.409%
[Progress:57.8%] time:50.85s Loss:1.05533  Acc:54.508%
[Progress:58.1%] time:50.68s Loss:1.14104  Acc:54.592%
[Progress:58.3%] time:49.88s Loss:1.20916  Acc:54.672%
[Progress:58.6%] time:50.83s Loss:1.19082  Acc:54.752%
[Progress:58.9%] time:51.08s Loss:1.11145  Acc:54.837%
[Progress:59.1%] time:49.81s Loss:1.14558  Acc:54.921%
[Progress:59.4%] time:50.22s Loss:1.11061  Acc:55.007%
[Progress:59.7%] time:49.81s Loss:1.11083  Acc:55.085%
[Progress:59.9%] time:49.85s Loss:1.02262  Acc:55.177%
[Progress:60.2%] time:49.66s Loss:1.07622  Acc:55.263%
[Progress:60.5%] time:49.82s Loss:1.04968  Acc:55.346%
